Ticket_ID,Date,Agent_ID,Plan_Type,Issue_Category,Sub_Category,Description,Priority,Status,Resolution_Time_Days,Channel,Reopened,Product_Feature
1001,01 July 2025,A001,Pro,Technical Issue,Listing Upload Error,Unable to upload property images,High,Resolved,5,Email,No,Listing Manager
1002,01 July 2025,A015,Trial,Billing Issue,Invoice Not Received,Didn’t receive invoice for the payment,Medium,Resolved,7,Chat,No,Billing Portal
1003,02 July 2025,A023,Premium,Feature Request,Dashboard Customization,Request to customize dashboard layout,Low,Open,-,Portal Form,No,Dashboard
1004,02 July 2025,A010,Trial,Login/Access,Password Reset Failure,Password reset link expired before use,High,Resolved,3,Chat,No,Authentication
1005,03 July 2025,A005,Premium,Integration,Facebook Ads Sync Failed,Unable to connect Facebook account for ads sync,High,Resolved,9,Email,Yes,Social Integration
1006,03 July 2025,A018,Pro,Integration,New York Times Connection Error,New York times integration not showing new listings,High,Resolved,8,Portal Form,No,External API
1007,04 July 2025,A009,Premium,Data Sync,Leads Not Updating,CRM leads not syncing properly,Medium,Resolved,6,Email,No,CRM Integration
1008,04 July 2025,A027,Pro,Analytics,Dashboard Data Delay,Data on analytics dashboard shows 24-hour delay,Medium,Open,-,Chat,No,Analytics
1009,05 July 2025,A011,Premium,Technical Issue,Map Not Loading,Map view not loading on property detail page,High,Resolved,4,Chat,No,Listing Manager
1010,05 July 2025,A022,Trial,Payment,Auto Renewal Failed,Subscription renewal did not go through automatically,Medium,Resolved,6,Email,Yes,Payment Gateway
1011,06 July 2025,A014,Premium,Notification,Email Campaign Not Delivered,Marketing email campaigns not reaching clients,High,Resolved,4,Portal Form,No,Campaign Manager
1012,06 July 2025,A008,Pro,Account Settings,Profile Update Error,Unable to update profile information,Medium,Resolved,6,Chat,No,Profile Management
1013,07 July 2025,A012,Premium,Integration,Google Calendar Sync Failed,Property showing schedules not syncing with Google Calendar,High,Resolved,6,Email,No,Calendar Sync
1014,07 July 2025,A006,Trial,Login/Access,2FA Code Not Received,Unable to login,High,Resolved,4,Chat,No,Authentication
1015,08 July 2025,A020,Pro,Technical Issue,Property Load Slow,Property listing page takes 10+ seconds to load,Medium,Open,-,Email,No,Listing Manager
1016,08 July 2025,A019,Trial,Feature Request,Add Property Notes,Request to add private notes to listings,Low,Open,-,Portal Form,No,Listing Manager
1017,09 July 2025,A017,Premium,Billing Issue,Double Charge,Charged twice for monthly subscription,High,Resolved,5,Email,Yes,Billing Portal
